"","String","Count"
"708","supposed_to",31928
"709","her_to",31922
"710","at_home",31921
"711","a_second",31899
"712","to_them",31844
"713","they_will",31821
"714","but_also",31790
"715","that_if",31789
"716","the_floor",31775
"717","with_us",31732
"718","had_no",31700
"719","thousands_of",31681
"720","on_that",31625
"721","told_me",31581
"722","on_to",31556
"723","in_all",31549
"724","is_what",31548
"725","at_his",31508
"726","top_of",31508
"727","my_father",31506
"728","the_night",31498
"729","last_week",31494
"730","for_that",31491
"731","the_street",31384
"732","i_knew",31316
"733","so_it",31311
"734","get_to",31292
"735","talk_to",31274
"736","is_still",31201
"737","deal_with",31039
"738","so_you",31031
"739","group_of",30881
"740","we_could",30857
"741","to_try",30841
"742","way_of",30785
"743","it_can",30773
"744","who_were",30707
"745","much_more",30700
"746","behind_the",30658
"747","health_care",30547
"748","in_and",30514
"749","back_and",30478
"750","up_on",30472
"751","out_and",30463
"752","about_this",30461
"753","all_that",30366
"754","a_major",30124
"755","should_have",30086
"756","so_we",30022
"757","take_the",29988
"758","things_that",29975
"759","with_this",29969
"760","were_the",29960
"761","the_process",29959
"762","and_one",29921
"763","may_not",29914
"764","of_life",29902
"765","it_all",29892
"766","so_far",29857
"767","until_the",29850
"768","about_that",29813
"769","to_meet",29736
"770","with_that",29689
"771","the_entire",29663
"772","the_west",29642
"773","right_to",29612
"774","to_bring",29590
"775","for_it",29574
"776","but_a",29505
"777","with_it",29489
"778","that_were",29488
"779","then_the",29479
"780","to_it",29425
"781","it_and",29421
"782","and_my",29407
"783","his_father",29403
"784","to_your",29381
"785","then_he",29374
"786","level_of",29350
"787","little_bit",29306
"788","found_that",29270
"789","on_your",29252
"790","something_that",29237
"791","the_current",29197
"792","have_no",29180
"793","the_table",29154
"794","to_ask",29127
"795","here_in",29124
"796","ready_to",29119
"797","involved_in",29050
"798","its_own",29040
"799","his_eyes",29020
"800","think_we",28874
"801","and_some",28861
"802","of_which",28846
"803","it_wasn't",28818
"804","how_the",28804
"805","a_different",28789
"806","any_of",28744
"807","them_in",28739
"808","the_money",28671
"809","but_if",28663
"810","the_point",28577
"811","the_real",28571
"812","it_could",28534
"813","where_they",28530
"814","of_you",28516
"815","for_them",28511
"816","to_show",28484
"817","the_game",28467
"818","white_house",28450
"819","to_live",28417
"820","to_stay",28410
"821","willing_to",28393
"822","what_happened",28390
"823","a_child",28349
"824","to_leave",28285
"825","come_back",28275
"826","tell_me",28265
"827","only_one",28230
"828","next_to",28229
"829","these_are",28229
"830","i_saw",28221
"831","that_could",28195
"832","then_i",28172
"833","the_following",28165
"834","n't_do",28162
"835","and_said",28136
"836","form_of",28125
"837","even_the",28084
"838","think_about",28042
"839","it_did",28030
"840","about_what",28008
"841","the_book",28001
"842","has_the",27957
"843","the_main",27953
"844","her_own",27927
"845","what_are",27925
"846","know_how",27878
"847","you_will",27873
"848","to_move",27845
"849","in_any",27835
"850","with_you",27828
"851","you_would",27802
"852","i_believe",27775
"853","you_need",27766
"854","throughout_the",27753
"855","out_a",27752
"856","was_so",27708
"857","is_this",27704
"858","to_hear",27701
"859","associated_with",27699
"860","how_do",27552
"861","this_country",27541
"862","to_provide",27453
"863","we_should",27440
"864","so_the",27426
"865","it_seems",27339
"866","i_wanted",27328
"867","history_of",27327
"868","much_as",27183
"869","from_her",27130
"870","to_our",27104
"871","the_kind",27053
"872","can_you",26946
"873","to_create",26941
"874","all_over",26909
"875","over_a",26906
"876","become_a",26841
"877","make_sure",26837
"878","decided_to",26829
"879","we_know",26804
"880","a_result",26795
"881","her_husband",26743
"882","state_of",26741
"883","with_my",26702
"884","after_all",26697
"885","the_children",26693
"886","to_become",26693
"887","series_of",26682
"888","they_want",26678
"889","the_three",26664
"890","for_instance",26611
"891","the_law",26573
"892","me_that",26554
"893","my_life",26549
"894","would_you",26527
"895","the_woman",26499
"896","how_many",26462
"897","type_of",26416
"898","the_truth",26404
"899","the_phone",26397
"900","to_stop",26397
"901","when_a",26340
"902","the_program",26275
"903","to_change",26272
"904","have_an",26247
"905","of_being",26241
"906","hundreds_of",26218
"907","this_week",26203
"908","on_it",26200
"909","of_one",26175
"910","the_center",26170
"911","the_use",26136
"912","it_may",26120
"913","needed_to",26116
"914","do_the",26101
"915","have_you",26087
"916","this_morning",26086
"917","is_more",26057
"918","her_mother",26042
"919","access_to",26037
"920","the_military",26000
"921","with_me",25986
"922","every_day",25956
"923","for_some",25925
"924","he_can",25879
"925","with_its",25796
"926","to_understand",25760
"927","the_field",25577
"928","the_work",25576
"929","known_as",25564
"930","you_and",25517
"931","the_police",25506
"932","him_in",25471
"933","to_buy",25465
"934","think_i",25420
"935","the_third",25392
"936","five_years",25370
"937","even_more",25363
"938","which_he",25346
"939","if_there",25345
"940","it_doesn't",25328
"941","a_whole",25324
"942","piece_of",25284
"943","man_who",25163
"944","a_group",25146
"945","and_with",25145
"946","the_beginning",25142
"947","due_to",25125
"948","a_real",25116
"949","near_the",25100
"950","an_hour",25065
"951","and_on",25058
"952","long_as",25046
"953","the_senate",25027
"954","that_of",25024
"955","the_bottom",25024
"956","i_love",24975
"957","one_thing",24965
"958","you_did",24962
"959","expected_to",24957
"960","idea_of",24935
"961","variety_of",24924
"962","me_and",24911
"963","and_have",24905
"964","and_had",24879
"965","better_than",24878
"966","but_this",24864
"967","be_more",24837
"968","three_years",24837
"969","kinds_of",24818
"970","the_late",24817
"971","the_final",24804
"972","the_kitchen",24795
"973","for_us",24794
"974","as_to",24780
"975","think_you",24726
"976","him_and",24639
"977","we_would",24636
"978","took_a",24610
"979","it_up",24596
"980","people_to",24595
"981","each_of",24552
"982","about_to",24547
"983","two_of",24531
"984","that_his",24530
"985","in_many",24507
"986","half_of",24471
"987","interested_in",24460
"988","but_when",24451
"989","the_area",24436
"990","the_study",24436
"991","a_while",24420
"992","the_wall",24401
"993","the_issue",24394
"994","but_what",24387
"995","the_morning",24362
"996","i_feel",24342
"997","over_to",24312
"998","to_learn",24305
"999","was_one",24262
"1000","you_say",24257
"1001","at_him",24246
"1002","must_have",24217
"1003","said_to",24206
"1004","has_not",24194
"1005","is_just",24160
"1006","just_the",24158
"1007","member_of",24138
"1008","my_own",24134
"1009","gon_na",24120
"1010","time_in",24111
"1011","with_them",24082
"1012","so_they",24074
"1013","that_one",24061
"1014","is_very",24052
"1015","n't_see",23993
"1016","of_other",23990
"1017","and_has",23921
"1018","is_so",23907
"1019","the_group",23905
"1020","were_in",23902
"1021","you_should",23858
"1022","me_a",23821
"1023","think_he",23807
"1024","her_head",23806
"1025","to_protect",23793
"1026","related_to",23782
"1027","her_eyes",23759
"1028","time_for",23753
"1029","it_a",23752
"1030","the_south",23736
"1031","the_sun",23702
"1032","his_face",23698
"1033","was_on",23658
"1034","it_as",23636
"1035","you_go",23594
"1036","we_want",23540
"1037","they_say",23527
"1038","long_time",23507
"1039","with_your",23499
"1040","this_one",23489
"1041","at_me",23474
"1042","outside_the",23474
"1043","difficult_to",23433
"1044","was_still",23414
"1045","the_body",23383
"1046","of_any",23366
"1047","about_how",23356
"1048","n't_like",23317
"1049","can_get",23307
"1050","is_there",23304
"1051","needs_to",23280
"1052","none_of",23263
"1053","up_for",23254
"1054","the_church",23239
"1055","the_word",23236
"1056","it_for",23223
"1057","to_build",23207
"1058","to_start",23166
"1059","called_the",23146
"1060","it_on",23142
"1061","the_economy",23139
"1062","go_back",23138
"1063","result_of",23127
"1064","to_what",23123
"1065","only_the",23115
"1066","a_better",23101
"1067","to_us",23096
"1068","and_at",23086
"1069","both_the",23075
