"","String","Count"
"738","i_am_looking_forward",1730
"739","a_huge_fan_of",1730
"740","i_want_to_know",1730
"741","the_fact_that_it",1730
"742","have_a_hard_time",1730
"743","in_the_long_run",1730
"744","a_great_place_to",1730
"745","with_the_exception_of",1730
"746","that_i_have_been",1730
"747","we_went_to_the",1730
"748","for_the_follow_and",1730
"749","hope_you're_having_a",1730
"750","when_you_have_a",1730
"751","couple_of_weeks_ago",1720
"752","thanks_for_your_support",1720
"753","of_the_things_i",1720
"754","i_was_looking_for",1720
"755","you_and_your_family",1710
"756","been_a_while_since",1710
"757","if_there_is_a",1710
"758","end_of_the_month",1710
"759","know_what_it_is",1710
"760","you_have_any_questions",1710
"761","i_can_think_of",1700
"762","it_was_nice_to",1700
"763","the_end_of_a",1700
"764","the_history_of_the",1700
"765","i_fell_in_love",1700
"766","used_to_be_a",1690
"767","so_i'm_going_to",1690
"768","i_can_say_is",1690
"769","i_am_in_the",1690
"770","we_can't_wait_to",1690
"771","is_the_first_time",1690
"772","had_a_great_day",1690
"773","in_a_good_way",1690
"774","have_to_be_a",1690
"775","want_it_to_be",1690
"776","the_majority_of_the",1680
"777","i_was_supposed_to",1680
"778","as_long_as_they",1680
"779","you_might_want_to",1680
"780","would_have_been_a",1680
"781","time_of_the_year",1680
"782","i_really_wanted_to",1680
"783","you_don't_need_to",1680
"784","i_had_to_do",1680
"785","some_of_my_favorite",1670
"786","and_i_don't_know",1670
"787","to_see_you_in",1670
"788","keep_up_the_great",1670
"789","at_the_time_i",1660
"790","there_are_plenty_of",1660
"791","the_word_of_god",1660
"792","this_is_a_good",1660
"793","you_need_to_know",1660
"794","can_you_follow_me",1660
"795","had_a_good_time",1660
"796","shout_out_to_my",1660
"797","in_the_last_few",1660
"798","did_a_great_job",1660
"799","thanks_for_the_great",1660
"800","thanks_for_the_rts",1660
"801","there_are_lots_of",1650
"802","but_at_the_same",1650
"803","for_a_while_and",1650
"804","the_time_of_the",1650
"805","want_to_do_is",1650
"806","hour_and_a_half",1650
"807","are_you_ready_for",1650
"808","to_deal_with_the",1650
"809","i_was_in_a",1650
"810","don't_have_to_be",1650
"811","you_are_interested_in",1650
"812","to_the_top_of",1650
"813","love_to_have_you",1650
"814","for_a_little_while",1640
"815","but_i_think_i",1640
"816","thanks_for_the_tweet",1640
"817","up_in_the_morning",1640
"818","if_i_have_to",1640
"819","as_part_of_a",1640
"820","rest_of_my_life",1640
"821","i_know_that_i",1640
"822","i'm_not_sure_how",1640
"823","if_you_do_not",1640
"824","would_be_able_to",1640
"825","that_it_would_be",1630
"826","i_decided_to_make",1630
"827","the_face_of_the",1630
"828","thanks_for_the_heads",1630
"829","at_the_start_of",1630
"830","go_back_to_sleep",1630
"831","i_had_to_go",1630
"832","a_very_long_time",1620
"833","the_next_few_weeks",1620
"834","the_same_time_i",1620
"835","day_of_the_week",1620
"836","but_i_don't_know",1620
"837","the_good_news_is",1620
"838","a_hell_of_a",1620
"839","the_heart_of_the",1620
"840","anything_to_do_with",1620
"841","in_the_hands_of",1620
"842","it_was_such_a",1620
"843","just_wanted_to_say",1620
"844","you_to_everyone_who",1620
"845","in_the_living_room",1610
"846","will_let_you_know",1610
"847","how_i_feel_about",1610
"848","shut_the_fuck_up",1610
